sessionId,source,label,clickRatePerMin,repeatedClickCount,scrollCount,scrollDirectionChanges,avgPointerSpeed,keyPressCount,navigationCount,avgHesitationMs,maxHesitationMs,durationSec
"synthetic-medium-0055","synthetic","medium","18.49","3","13","2","208.21","42","2","1337.17","5131.74","131.4"
"synthetic-high-0025","synthetic","high","29.04","6","41","16","368.38","94","5","4338.96","13559.29","325.37"
"synthetic-low-0025","synthetic","low","5.84","1","8","0","681.09","8","1","635.36","2129.65","55.5"
"synthetic-medium-0239","synthetic","medium","23.56","2","18","4","422.59","21","4","1329.41","6044.23","144.21"
"synthetic-low-0197","synthetic","low","10","1","4","2","631.24","30","1","686.56","1874.61","41.76"
"synthetic-medium-0277","synthetic","medium","27.53","4","16","2","508.49","20","4","1131.59","3925.89","98.57"
"synthetic-low-0276","synthetic","low","10.61","0","4","1","733.96","18","0","816.03","1063.44","61.76"
"synthetic-high-0080","synthetic","high","54.25","9","18","19","444.41","58","8","3510.17","17069.43","195.66"
"synthetic-low-0064","synthetic","low","8.26","0","6","0","715.81","5","0","572.34","2356.69","42.98"
"synthetic-medium-0288","synthetic","medium","18.04","3","16","2","546.97","27","2","1945.84","5146.38","145.09"
"synthetic-medium-0089","synthetic","medium","30.08","4","6","6","424.2","44","1","1252.11","4857.4","116.4"
"synthetic-low-0069","synthetic","low","7.28","0","8","0","484.46","24","0","347.74","1634.38","69.27"
"synthetic-medium-0171","synthetic","medium","19.84","4","8","6","412.23","57","1","2181.8","4564.24","140.79"
"synthetic-medium-0210","synthetic","medium","29.17","2","9","4","503.78","24","1","1578.38","5429.26","121.03"
"synthetic-low-0223","synthetic","low","8.07","1","6","2","587.65","35","0","803.37","1080.88","37.82"
"synthetic-low-0005","synthetic","low","11.54","1","1","0","509.64","32","0","859.61","1275.66","35.78"
"synthetic-low-0147","synthetic","low","6.18","1","8","0","630.77","10","1","427.1","1186.8","52.82"
"synthetic-low-0175","synthetic","low","13.03","0","8","1","651.57","16","0","393.51","1398.55","33.77"
"synthetic-medium-0009","synthetic","medium","18.95","2","16","7","488.19","45","4","1686.02","4488.98","71.88"
"synthetic-medium-0227","synthetic","medium","24.11","4","7","4","433.08","26","1","1155.85","3548.72","131.94"
"synthetic-medium-0102","synthetic","medium","28.42","2","12","6","421.88","64","4","2000.74","6270.17","103.41"
"synthetic-high-0072","synthetic","high","30.5","4","34","15","222.57","106","4","6491.9","7170.68","275.35"
"synthetic-low-0238","synthetic","low","12.8","0","3","2","478.18","32","1","299.31","2110.63","62.21"
"synthetic-medium-0056","synthetic","medium","26.29","3","12","5","466.79","42","3","1710.66","5256.43","111.2"
"synthetic-medium-0048","synthetic","medium","26.28","3","12","3","400.64","66","1","2458.47","6211.09","136.59"
"synthetic-medium-0247","synthetic","medium","30.47","2","6","2","285.2","36","2","1714.83","4453.95","74.5"
"synthetic-low-0062","synthetic","low","7.03","0","8","0","600.52","30","0","337.21","2018.45","40.14"
"synthetic-medium-0282","synthetic","medium","18.32","2","7","7","487.65","27","1","1024.78","3483.37","132.79"
"synthetic-low-0036","synthetic","low","6.41","0","4","2","371.95","31","0","888.41","2388.68","60.32"
"synthetic-medium-0061","synthetic","medium","28.05","2","9","5","258.44","35","3","1351.05","6065.55","144.15"
"synthetic-low-0274","synthetic","low","12.72","0","2","1","573.52","20","1","652.69","2180.8","27.83"
"synthetic-low-0044","synthetic","low","11.35","1","6","1","482.49","14","1","638.62","1873.91","39.38"
"synthetic-medium-0256","synthetic","medium","25.99","2","11","3","261.03","22","2","1870.12","5585.74","113.84"
"synthetic-low-0043","synthetic","low","8.11","1","6","2","719.32","30","0","745.13","2240.87","28.51"
"synthetic-low-0169","synthetic","low","11.64","0","5","2","456.3","30","1","631.3","2141.58","28.79"
"synthetic-high-0008","synthetic","high","46.97","4","33","17","785.21","67","4","5143.72","12819.35","255.64"
"synthetic-medium-0255","synthetic","medium","17.14","2","10","4","217","66","1","2059.47","5322.5","142.77"
"synthetic-low-0267","synthetic","low","14.41","0","7","1","470.29","10","0","686.49","1051.57","61.78"
"synthetic-medium-0260","synthetic","medium","32.48","2","13","6","263.35","57","4","1534.4","5968.87","122.18"
"synthetic-high-0017","synthetic","high","33.03","6","35","14","295.64","97","7","5258.1","12044.62","291.01"
"synthetic-low-0231","synthetic","low","12.11","1","7","2","547.22","35","1","775","1233.68","51.21"
"synthetic-medium-0296","synthetic","medium","29.85","1","10","7","400.94","37","1","1294.93","4757.9","118.24"
"synthetic-low-0146","synthetic","low","12.03","0","8","2","414.8","16","1","639.68","2058.34","29.51"
"synthetic-low-0066","synthetic","low","11.44","1","4","1","719.4","30","0","638.32","1880.24","62.17"
"synthetic-medium-0168","synthetic","medium","17.94","3","9","2","420.17","60","2","2264.76","4656.95","90.99"
"synthetic-medium-0212","synthetic","medium","29.72","1","15","7","535.39","44","4","2262.45","5139.83","79.44"
"synthetic-medium-0201","synthetic","medium","17.43","1","17","4","242.11","22","1","2169.32","4576.91","74.09"
"synthetic-medium-0265","synthetic","medium","18.21","2","13","4","386.52","61","4","2279.91","2694.06","91.19"
"synthetic-medium-0233","synthetic","medium","24.67","1","8","7","340.51","52","4","1743.26","5189.08","134.93"
"synthetic-low-0017","synthetic","low","6.38","1","7","2","632.2","29","0","595.1","1884.61","37.19"
"synthetic-low-0074","synthetic","low","14.54","0","3","2","360.1","32","0","329.94","2025.72","57.78"
"synthetic-medium-0119","synthetic","medium","16.3","1","17","2","459.06","51","3","1286.22","3042.32","134.29"
"synthetic-low-0207","synthetic","low","14.85","0","4","1","609.5","35","0","727.23","1266.29","32.96"
"synthetic-low-0001","synthetic","low","14.59","0","6","1","472.3","5","1","462.44","1737.29","37.08"
"synthetic-medium-0035","synthetic","medium","32.95","4","10","2","449.54","27","1","902.9","2926.16","82.97"
"synthetic-high-0054","synthetic","high","36.44","13","33","12","534.02","58","5","3764.69","10368.38","216.32"
"synthetic-medium-0220","synthetic","medium","30.09","1","18","2","484.57","27","4","2370.2","4038.54","141.42"
"synthetic-medium-0251","synthetic","medium","24.24","2","6","4","402.3","24","1","1197.73","3650.45","111.05"
"synthetic-high-0049","synthetic","high","35.43","5","32","7","279.77","84","7","6821.59","7645.21","248.4"
"synthetic-medium-0130","synthetic","medium","16.28","4","7","4","371.86","63","3","1216.59","3155.41","120.26"
"synthetic-high-0056","synthetic","high","51.39","5","21","14","90.83","86","4","6958.38","7940.73","202.03"
"synthetic-medium-0297","synthetic","medium","26.79","4","11","6","466.53","63","2","2016.92","5016.86","142.16"
"synthetic-low-0057","synthetic","low","15.65","1","5","2","595.65","21","1","350.81","2287.83","55.31"
"synthetic-low-0244","synthetic","low","11.41","1","1","1","443.47","35","1","274.73","2270.09","66.65"
"synthetic-medium-0257","synthetic","medium","25.82","3","12","4","446.77","58","1","1253.29","6164.37","110.58"
"synthetic-medium-0041","synthetic","medium","28.43","1","17","6","400.09","55","2","1975.59","3328.97","103.16"
"synthetic-medium-0252","synthetic","medium","26.98","3","13","3","411.84","35","3","2431.4","6026.37","120.68"
"synthetic-high-0060","synthetic","high","52.67","10","40","13","571.77","92","6","5513.38","10068.14","322.22"
"synthetic-medium-0286","synthetic","medium","20.49","4","14","3","411.88","46","3","1427.84","4416.19","144.23"
"synthetic-low-0179","synthetic","low","10.45","0","5","2","680.09","11","0","766.25","2419.64","40.07"
"synthetic-medium-0276","synthetic","medium","15.28","1","18","7","322.66","68","3","1179.41","2801.94","104.46"
"synthetic-medium-0179","synthetic","medium","23.66","2","12","2","201.98","46","1","2194.21","4055.79","120.75"
"synthetic-medium-0188","synthetic","medium","16.26","2","10","3","280.95","22","2","1410.34","5143.82","120.8"
"synthetic-low-0251","synthetic","low","13.66","1","1","0","746.93","19","0","856.05","1157.63","33.9"
"synthetic-medium-0071","synthetic","medium","23.6","4","12","6","496.71","24","2","989.96","5525.66","83.32"
"synthetic-medium-0011","synthetic","medium","22.25","3","6","6","234.67","60","1","2351.73","2757.93","117.6"
"synthetic-medium-0241","synthetic","medium","16.01","2","18","7","332.18","40","2","1916.46","4818.26","99.89"
"synthetic-high-0036","synthetic","high","52.78","11","20","13","804.81","82","4","5262.79","12284.93","209.13"
"synthetic-medium-0025","synthetic","medium","19.28","4","12","7","380.74","60","3","1447.97","3447.03","106.66"
"synthetic-medium-0057","synthetic","medium","30.42","4","14","2","255.73","55","1","2144.03","2778.39","119.22"
"synthetic-medium-0205","synthetic","medium","33.6","2","12","2","363.72","21","4","2027.07","3876.68","125.95"
"synthetic-low-0139","synthetic","low","15.9","1","3","0","638.06","32","0","282.52","2182.54","74.61"
"synthetic-low-0047","synthetic","low","10.27","0","1","0","449.81","30","0","579.29","2052.46","28.88"
"synthetic-medium-0158","synthetic","medium","22.15","4","7","7","212.53","69","2","2453.22","3214.83","110.92"
"synthetic-medium-0133","synthetic","medium","32.77","3","8","5","386.17","51","4","928.76","3079.71","112.37"
"synthetic-medium-0014","synthetic","medium","24.19","2","12","5","267.45","31","1","2340.79","5889.77","102.08"
"synthetic-medium-0185","synthetic","medium","33.71","3","6","6","515.85","64","3","2323.43","5603.27","99.96"
"synthetic-medium-0141","synthetic","medium","17.35","3","15","7","417.66","33","4","2078.43","6288.38","83.49"
"synthetic-medium-0086","synthetic","medium","28.56","4","13","4","351.8","30","4","1855.98","3157.23","121.67"
"synthetic-medium-0028","synthetic","medium","23.69","1","9","3","290.12","65","2","1619.07","2925.29","127.93"
"synthetic-low-0277","synthetic","low","9.46","0","7","0","573.68","6","1","739.69","2137.74","44.2"
"synthetic-low-0086","synthetic","low","12.4","1","5","0","733.85","6","0","603.82","1336.79","28.24"
"synthetic-high-0075","synthetic","high","33.82","12","37","15","89.25","104","5","3641.32","10424.71","213.71"
"synthetic-low-0114","synthetic","low","6.41","0","7","0","463.01","9","0","652.85","2169.32","50.91"
"synthetic-low-0166","synthetic","low","15.1","1","5","0","519.03","15","1","600.8","1716.68","69.08"
"synthetic-medium-0174","synthetic","medium","29.72","3","16","3","432.32","54","1","2473.5","5968.33","131.73"
"synthetic-medium-0060","synthetic","medium","16.45","2","15","6","330.64","44","4","1141.17","5537.26","144.34"
"synthetic-medium-0151","synthetic","medium","24.44","2","14","7","326.15","24","2","1144.14","3623.53","119.12"
"synthetic-medium-0244","synthetic","medium","23.14","3","13","5","207.81","61","3","1191.59","3627.18","124.76"
"synthetic-medium-0172","synthetic","medium","20.23","4","7","4","369.25","40","2","941.46","5607.64","100.17"
"synthetic-medium-0262","synthetic","medium","17.29","2","7","2","510.62","33","3","2306.16","2540.64","78.97"
"synthetic-medium-0218","synthetic","medium","18.08","2","12","5","288.38","60","2","1269.6","2899.02","109.92"
"synthetic-low-0039","synthetic","low","12.41","0","7","0","404.38","9","0","725.35","1457.23","47.1"
"synthetic-medium-0054","synthetic","medium","24.03","4","18","4","355.68","33","3","1947.23","5318.15","107.94"
"synthetic-medium-0198","synthetic","medium","15.74","1","18","4","444.61","41","3","2390.94","4821.08","138.66"
"synthetic-high-0032","synthetic","high","28.07","10","29","13","705.52","64","3","4092.1","12202.5","322.08"
"synthetic-high-0058","synthetic","high","58.22","11","43","15","716.46","48","6","5860.93","13934.76","306.14"
"synthetic-medium-0246","synthetic","medium","28.82","3","11","7","282.34","43","3","2388.38","2851.17","81.44"
"synthetic-low-0259","synthetic","low","11.99","0","4","1","591.83","34","1","539.46","1678.09","63.54"
"synthetic-low-0089","synthetic","low","5.48","1","6","1","568.25","16","0","402.01","2426.6","73.74"
"synthetic-low-0260","synthetic","low","8.62","1","2","2","742.99","33","1","499.14","2107.26","44.23"
"synthetic-high-0030","synthetic","high","35.55","14","18","14","387.62","106","9","5011.21","7035.67","145.61"
"synthetic-low-0041","synthetic","low","14.45","0","2","2","618.59","12","0","501.27","1112.21","50.14"
"synthetic-high-0019","synthetic","high","37.58","5","26","12","536.92","53","4","6141.78","16927.36","247.09"
"synthetic-medium-0024","synthetic","medium","31.74","4","16","5","531.74","41","4","2079.23","3779.27","103.1"
"synthetic-low-0194","synthetic","low","15.63","1","2","0","623.8","9","1","280.16","1292.14","29.78"
"synthetic-medium-0231","synthetic","medium","31.06","1","15","3","226.44","30","4","1804.53","5085.6","129.24"
"synthetic-medium-0209","synthetic","medium","17.14","2","10","7","360.2","64","1","2114.24","6002.99","123.67"
"synthetic-medium-0184","synthetic","medium","20.23","4","7","6","247.3","39","3","2080.3","5959.25","89.3"
"synthetic-high-0028","synthetic","high","47.74","11","41","9","827.42","43","6","5579.07","15334.09","196.17"
"synthetic-medium-0182","synthetic","medium","17.28","4","16","6","532.66","53","2","1417.58","4030.42","117.71"
"synthetic-low-0101","synthetic","low","10.05","0","6","1","706.55","6","0","549.11","1001.43","25.37"
"synthetic-low-0119","synthetic","low","5.06","1","6","0","655.89","21","0","426.78","1911.08","31.43"
"synthetic-low-0080","synthetic","low","5.56","1","1","2","636.31","19","0","508.15","967.73","61.38"
"synthetic-medium-0295","synthetic","medium","16.56","2","16","2","533.53","48","2","1145.48","5780.35","139.35"
"synthetic-medium-0266","synthetic","medium","16.63","1","11","6","234.51","44","1","2177.62","4364.96","147.42"
"synthetic-medium-0204","synthetic","medium","26.71","1","11","2","544.46","26","4","1776.79","3931.69","85.25"
"synthetic-medium-0229","synthetic","medium","25.18","2","17","4","518.46","40","1","1745.5","5372.22","115.31"
"synthetic-low-0023","synthetic","low","15.3","1","5","2","529.32","10","0","548.32","1344.29","69.28"
"synthetic-medium-0243","synthetic","medium","29.79","3","17","6","371.7","27","1","1383.05","5490.42","100.72"
"synthetic-low-0130","synthetic","low","6.74","0","7","2","579.22","23","1","565.72","2166.92","45.05"
"synthetic-low-0085","synthetic","low","10.5","1","4","0","716.17","32","1","365","2495.05","73.57"
"synthetic-medium-0298","synthetic","medium","20.96","1","11","7","509.17","54","4","1989","6006.83","123.91"
"synthetic-low-0258","synthetic","low","8.71","1","7","2","636.51","29","1","371.06","1424.94","44.72"
"synthetic-medium-0250","synthetic","medium","28.52","4","8","6","305.32","44","1","1925.6","4031.09","113.99"
"synthetic-medium-0099","synthetic","medium","17.84","1","15","2","370.02","66","2","1336.03","4816.37","115.46"
"synthetic-high-0014","synthetic","high","63.76","6","16","9","722.53","91","7","3170.8","7627.05","204.31"
"synthetic-low-0141","synthetic","low","10.14","0","3","2","695.88","26","0","328.58","1870.37","30.44"
"synthetic-low-0230","synthetic","low","9.13","1","8","1","692.5","29","0","532.96","1817.53","53.11"
"synthetic-high-0052","synthetic","high","35.61","12","28","16","368.11","108","7","3849.64","14474.06","282.6"
"synthetic-high-0012","synthetic","high","42.2","12","23","8","346.37","85","3","4413.95","16135.07","151.56"
"synthetic-low-0280","synthetic","low","13.37","0","1","2","514.62","31","1","621.7","2006.87","64.55"
"synthetic-low-0073","synthetic","low","5.86","1","6","1","673.47","31","0","459.15","1834.28","35.23"
"synthetic-low-0144","synthetic","low","14.16","0","4","2","650.57","22","0","748.96","993.99","69.6"
"synthetic-medium-0105","synthetic","medium","20.17","2","9","6","500.33","30","4","2048.5","6184.65","141.23"
"synthetic-medium-0221","synthetic","medium","16.33","1","17","7","232.25","44","1","2216.2","5996.68","70.67"
"synthetic-low-0155","synthetic","low","9.7","0","6","0","402.78","23","0","493.36","2249.03","71.28"
"synthetic-low-0162","synthetic","low","13.23","0","1","1","618.98","17","0","422.55","1753.12","63.95"
"synthetic-low-0007","synthetic","low","14.8","1","6","2","424.33","5","0","859.3","1160.18","65.07"
"synthetic-low-0072","synthetic","low","9.77","0","4","1","663.37","10","0","582.16","914.92","42.01"
"synthetic-medium-0114","synthetic","medium","22.82","4","14","6","466.21","26","1","1571.88","5758.66","91.51"
"synthetic-low-0033","synthetic","low","7.8","0","2","1","744.93","24","0","708.73","1613.52","57.92"
"synthetic-high-0088","synthetic","high","52.85","4","39","7","524.18","64","5","6624.34","16046.24","322.34"
"synthetic-high-0166","synthetic","high","53.53","8","45","7","242.42","46","9","4496.37","12643.33","201.33"
"synthetic-high-0165","synthetic","high","49.38","9","39","15","607.65","109","8","2614.3","9410.7","281.58"
"synthetic-low-0105","synthetic","low","8.71","1","4","1","352.2","26","1","866.65","2178.64","44.99"
"synthetic-low-0233","synthetic","low","5.03","1","4","1","476.64","29","0","337.12","1922.59","32.68"
"synthetic-low-0292","synthetic","low","13.42","1","3","2","467.6","23","0","778.78","1186.3","45.65"
"synthetic-high-0189","synthetic","high","44.32","9","40","11","778.29","108","3","3560.86","9266.32","145.52"
"synthetic-medium-0222","synthetic","medium","31.32","2","8","6","236.17","55","4","1771.94","5226.72","121.06"
"synthetic-medium-0197","synthetic","medium","18.61","1","11","6","210.38","42","1","1841.89","5026.21","70.18"
"synthetic-high-0094","synthetic","high","42.89","6","18","18","188.76","94","4","2666.61","9021.63","263.78"
"synthetic-low-0056","synthetic","low","14.76","1","8","2","559.42","25","0","835.87","2202.48","30.52"
"synthetic-high-0074","synthetic","high","34.25","14","36","15","248.14","88","10","6791.12","11536.04","303.57"
"synthetic-high-0148","synthetic","high","57.58","9","29","7","383.69","78","5","3164.69","10271.46","306.41"
"synthetic-high-0129","synthetic","high","54.7","7","20","12","420.08","40","8","3494","15371.76","231.68"
"synthetic-medium-0103","synthetic","medium","29.74","4","10","3","410.05","61","4","2118.31","3412.85","112.14"
"synthetic-medium-0046","synthetic","medium","21.61","2","17","5","547.42","23","2","1641","6291.39","137.72"
"synthetic-high-0180","synthetic","high","48.94","13","31","15","612.97","101","5","4282.3","12102.81","229.56"
"synthetic-high-0196","synthetic","high","47.91","4","26","13","483.43","55","4","6834.19","12485.04","243.84"
"synthetic-high-0042","synthetic","high","37.25","5","21","11","469.46","40","6","5315.61","16653.33","266.76"
"synthetic-medium-0135","synthetic","medium","17.89","2","9","7","522.94","49","2","1261.28","4255.65","107.31"
"synthetic-low-0167","synthetic","low","15.63","0","7","1","442.62","23","1","859.6","2020.75","48.66"
"synthetic-low-0079","synthetic","low","6.56","1","1","2","648.39","28","0","300.68","2282.43","35.65"
"synthetic-medium-0237","synthetic","medium","15.39","2","15","7","493.57","27","3","2298.14","3658.24","137.91"
"synthetic-medium-0226","synthetic","medium","14.04","3","7","5","233.86","57","4","2308.15","6352.29","120.24"
"synthetic-high-0185","synthetic","high","47.54","6","31","13","299.23","86","10","5757.22","16401.04","328.07"
"synthetic-low-0109","synthetic","low","10.81","1","3","2","656.51","18","0","815.46","1842.98","73.97"
"synthetic-medium-0113","synthetic","medium","14.17","4","6","3","510.57","50","4","1169.17","6179.98","143.36"
"synthetic-medium-0177","synthetic","medium","25.5","4","11","5","497.52","29","4","1141.87","3557.95","73.32"
"synthetic-high-0192","synthetic","high","45.98","14","16","19","418.83","50","7","2539.18","11405.2","318.74"
"synthetic-medium-0068","synthetic","medium","15.18","3","17","3","217.7","35","1","989.48","4898.16","146.84"
"synthetic-medium-0240","synthetic","medium","16.75","4","10","5","278.68","42","4","1951.14","5964.91","116.11"
"synthetic-low-0098","synthetic","low","10.2","1","7","1","470.93","24","0","819.18","2460.35","72.6"
"synthetic-high-0045","synthetic","high","53.82","8","44","7","741.53","84","6","6468.98","17021.58","228"
"synthetic-high-0140","synthetic","high","39.91","7","37","12","94.3","59","9","5137.23","10769.84","316.39"
"synthetic-medium-0258","synthetic","medium","24.26","3","13","4","228.86","68","4","1156.04","5272.87","103.34"
"synthetic-low-0031","synthetic","low","15.25","1","7","2","518.95","19","1","881.43","1010.75","26.77"
"synthetic-low-0102","synthetic","low","11.35","1","4","2","384.94","25","0","390.75","2480.2","66.92"
"synthetic-medium-0191","synthetic","medium","15.6","2","7","2","229.08","63","3","1649.27","3975.5","106.45"
"synthetic-low-0299","synthetic","low","11.13","1","6","0","518.84","30","1","350.7","970.21","63.49"
"synthetic-medium-0206","synthetic","medium","19.11","4","18","5","343.46","54","4","1954.02","4819.06","132.93"
"synthetic-low-0159","synthetic","low","14.24","1","6","1","428.05","16","1","312.2","1045.19","49.44"
"synthetic-high-0186","synthetic","high","45.23","4","34","9","881.99","120","4","4818.13","10244.54","150.8"
"synthetic-low-0245","synthetic","low","6.51","1","5","0","508.48","30","1","899.41","1882.16","49.74"
"synthetic-medium-0123","synthetic","medium","22.23","2","9","2","276.72","26","1","2141.39","4452.01","94.55"
"synthetic-high-0043","synthetic","high","36.72","5","16","19","204.29","72","3","5286.96","16318.3","225.64"
"synthetic-high-0147","synthetic","high","43.31","12","21","9","386.26","81","10","5232.29","17735.63","202.38"
"synthetic-high-0155","synthetic","high","53.27","8","42","18","472.6","113","9","4210.87","15740.41","275.1"
"synthetic-high-0107","synthetic","high","44.1","14","39","14","240.17","49","9","3808.99","11073.08","236.65"
"synthetic-high-0027","synthetic","high","42","8","18","9","172.56","117","8","6835.33","15924.5","245.43"
"synthetic-medium-0195","synthetic","medium","31.54","3","8","6","312.66","23","4","2358.74","5224.99","94.04"
"synthetic-high-0238","synthetic","high","50.58","6","20","9","745.28","51","10","2709.74","8303.39","152.59"
"synthetic-medium-0149","synthetic","medium","26.27","3","10","2","523.9","25","4","2095.87","4815.41","72.6"
"synthetic-low-0173","synthetic","low","8.7","1","8","0","417.71","12","0","796.14","1639.61","56.4"
"synthetic-low-0243","synthetic","low","9.86","0","2","0","626.88","24","1","284.58","2187.08","50.56"
"synthetic-low-0199","synthetic","low","14.12","0","6","2","357.88","35","0","820.21","1022.59","41.34"
"synthetic-high-0111","synthetic","high","55.64","8","27","8","742.99","61","3","6991.18","17541.58","154.09"
"synthetic-high-0199","synthetic","high","48.71","7","44","7","633.59","96","10","3073.48","11043.65","153.08"
"synthetic-low-0286","synthetic","low","9.46","1","3","1","584.55","22","0","328.08","1291.18","69.98"
"synthetic-medium-0017","synthetic","medium","28.94","2","16","2","415.56","61","2","1723.35","3446.25","110.23"
"synthetic-high-0104","synthetic","high","64.21","5","17","16","402.59","91","4","6940.71","10233.84","236.01"
"synthetic-medium-0036","synthetic","medium","30.1","3","18","4","490.58","57","1","1239.07","3239.27","145.41"
"synthetic-medium-0092","synthetic","medium","16.07","2","8","3","238.98","38","1","1597.98","5664.48","106.57"
"synthetic-high-0125","synthetic","high","30.88","5","21","7","129.41","56","5","4956.41","12507.65","267.1"
"synthetic-high-0218","synthetic","high","31.23","14","35","13","551.59","46","9","6648.86","12084.67","268.88"
"synthetic-low-0138","synthetic","low","7.35","0","7","0","654.33","28","0","522.96","2362.85","26.72"
"synthetic-high-0159","synthetic","high","53.37","11","35","12","599.22","54","9","5503.38","12239.84","160.97"
"synthetic-high-0161","synthetic","high","49.7","11","19","9","744.08","62","3","4576.77","8056.6","214.52"
"synthetic-low-0099","synthetic","low","12.2","1","1","1","391.14","22","0","830.36","2353.79","51.18"
"synthetic-medium-0190","synthetic","medium","18.98","4","18","3","451.83","43","1","1845.11","5357.47","74.06"
"synthetic-medium-0131","synthetic","medium","22.6","1","9","5","549.39","25","2","1137.42","3941.52","98.6"
"synthetic-medium-0186","synthetic","medium","19.01","3","8","4","415.3","57","1","2379.4","4895.13","90.38"
"synthetic-low-0129","synthetic","low","7.48","0","3","2","415.13","28","1","422.92","1677.51","47.28"
"synthetic-high-0162","synthetic","high","63.13","7","27","8","588.75","78","8","3836.3","10500.47","223.74"
"synthetic-high-0221","synthetic","high","33.71","11","33","7","707.98","65","3","3710.03","8294.41","327.94"
"synthetic-medium-0180","synthetic","medium","31.03","4","9","2","359.39","37","4","1721.57","2611.34","91.95"
"synthetic-medium-0165","synthetic","medium","23.81","3","13","3","483.68","70","4","1038.2","5102.36","145.7"
"synthetic-high-0190","synthetic","high","51.76","6","26","10","614.13","54","5","5495.52","11688.35","163.92"
"synthetic-medium-0268","synthetic","medium","32.94","3","7","4","298.6","43","3","1645.52","5092.4","79.77"
"synthetic-high-0188","synthetic","high","31.45","5","18","10","185.32","81","4","6740.04","10951.48","244.9"
"synthetic-high-0150","synthetic","high","55.83","8","18","12","307.26","77","3","6328.64","9557.68","229.14"
"synthetic-low-0241","synthetic","low","13.88","1","5","2","417.83","14","1","829.49","1797.29","73.97"
"synthetic-low-0063","synthetic","low","10.68","1","4","0","360.68","10","0","578.72","1714.14","61.5"
"synthetic-low-0118","synthetic","low","10.08","0","7","2","541.52","12","1","738","1547.35","46.46"
"synthetic-high-0269","synthetic","high","36.94","6","36","20","389.09","112","5","3542.35","12396.51","322.34"
"synthetic-medium-0271","synthetic","medium","14.79","2","10","4","489.67","27","2","1445.1","3455.2","109.64"
"synthetic-low-0206","synthetic","low","14.04","1","2","2","532.69","7","1","325.18","1981.88","38.71"
